record_id,source_title,source_url_or_ref,author_name,source_language,source_type,published_at,trip_time_start,trip_time_end,trip_style,summary_zh,item_name_raw,item_name_zh,item_name_en,category,status_recommend,container_recommend,quantity_recommend,brand_raw,brand_normalized,reason_raw,source_quote_or_timecode,confidence_item,record_status,source_logo_url
REI_CANOE_MULTIDAY_TOURING_CHECKLIST-CDP-001,Canoe Trip Packing Checklist,https://www.rei.com/learn/expert-advice/canoe-multiday-touring-checklist.html,REI Co-op,en,article,,,,canoe / multiday / expedition,REI 独木舟多日巡航清单，强调多日补给与船上收纳。,Paddle (1 per paddler),,Paddle (1 per paddler),camping,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Canoe,3,draft,https://www.rei.com/favicon.ico
REI_CANOE_MULTIDAY_TOURING_CHECKLIST-CDP-002,Canoe Trip Packing Checklist,https://www.rei.com/learn/expert-advice/canoe-multiday-touring-checklist.html,REI Co-op,en,article,,,,canoe / multiday / expedition,REI 独木舟多日巡航清单，强调多日补给与船上收纳。,Personal flotation device (1 per paddler),,Personal flotation device (1 per paddler),camping,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Extra paddle,3,draft,https://www.rei.com/favicon.ico
REI_CANOE_MULTIDAY_TOURING_CHECKLIST-CDP-003,Canoe Trip Packing Checklist,https://www.rei.com/learn/expert-advice/canoe-multiday-touring-checklist.html,REI Co-op,en,article,,,,canoe / multiday / expedition,REI 独木舟多日巡航清单，强调多日补给与船上收纳。,Yoke (with pads),,Yoke (with pads),camping,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Knee pads,3,draft,https://www.rei.com/favicon.ico
REI_CANOE_MULTIDAY_TOURING_CHECKLIST-CDP-004,Canoe Trip Packing Checklist,https://www.rei.com/learn/expert-advice/canoe-multiday-touring-checklist.html,REI Co-op,en,article,,,,canoe / multiday / expedition,REI 独木舟多日巡航清单，强调多日补给与船上收纳。,Dry bags (for gear organization),,Dry bags (for gear organization),bags,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Knee pads,3,draft,https://www.rei.com/favicon.ico
REI_CANOE_MULTIDAY_TOURING_CHECKLIST-CDP-005,Canoe Trip Packing Checklist,https://www.rei.com/learn/expert-advice/canoe-multiday-touring-checklist.html,REI Co-op,en,article,,,,canoe / multiday / expedition,REI 独木舟多日巡航清单，强调多日补给与船上收纳。,Weather/VHF radio,,Weather/VHF radio,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Spray covers,3,draft,https://www.rei.com/favicon.ico
REI_CANOE_MULTIDAY_TOURING_CHECKLIST-CDP-006,Canoe Trip Packing Checklist,https://www.rei.com/learn/expert-advice/canoe-multiday-touring-checklist.html,REI Co-op,en,article,,,,canoe / multiday / expedition,REI 独木舟多日巡航清单，强调多日补给与船上收纳。,"Signaling devices (whistle, mirror, flares)",,"Signaling devices (whistle, mirror, flares)",other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Spray covers,3,draft,https://www.rei.com/favicon.ico
REI_CANOE_MULTIDAY_TOURING_CHECKLIST-CDP-007,Canoe Trip Packing Checklist,https://www.rei.com/learn/expert-advice/canoe-multiday-touring-checklist.html,REI Co-op,en,article,,,,canoe / multiday / expedition,REI 独木舟多日巡航清单，强调多日补给与船上收纳。,Emergency floating throw line (with throw bag),,Emergency floating throw line (with throw bag),bags,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Float bags,3,draft,https://www.rei.com/favicon.ico
REI_CANOE_MULTIDAY_TOURING_CHECKLIST-CDP-008,Canoe Trip Packing Checklist,https://www.rei.com/learn/expert-advice/canoe-multiday-touring-checklist.html,REI Co-op,en,article,,,,canoe / multiday / expedition,REI 独木舟多日巡航清单，强调多日补给与船上收纳。,Bailer or bilge pump,,Bailer or bilge pump,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Float bags,3,draft,https://www.rei.com/favicon.ico
REI_CANOE_MULTIDAY_TOURING_CHECKLIST-CDP-009,Canoe Trip Packing Checklist,https://www.rei.com/learn/expert-advice/canoe-multiday-touring-checklist.html,REI Co-op,en,article,,,,canoe / multiday / expedition,REI 独木舟多日巡航清单，强调多日补给与船上收纳。,Maps and charts in waterproof case,,Maps and charts in waterproof case,documents,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Core Gear,3,draft,https://www.rei.com/favicon.ico
REI_CANOE_MULTIDAY_TOURING_CHECKLIST-CDP-010,Canoe Trip Packing Checklist,https://www.rei.com/learn/expert-advice/canoe-multiday-touring-checklist.html,REI Co-op,en,article,,,,canoe / multiday / expedition,REI 独木舟多日巡航清单，强调多日补给与船上收纳。,Matches/lighter/fire starter in waterproof container,,Matches/lighter/fire starter in waterproof container,nutrition,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,GPS,3,draft,https://www.rei.com/favicon.ico
