record_id,source_title,source_url_or_ref,author_name,source_language,source_type,published_at,trip_time_start,trip_time_end,trip_style,summary_zh,item_name_raw,item_name_zh,item_name_en,category,status_recommend,container_recommend,quantity_recommend,brand_raw,brand_normalized,reason_raw,source_quote_or_timecode,confidence_item,record_status,source_logo_url
REI-BP-CDP-001,Backpacking Gear List: What to Bring on a Backpacking Trip,https://www.rei.com/learn/expert-advice/backpacking-checklist.html,REI Co-op,en,article,,,,"backpacking / wilderness / overnight",REI 背包徒步清单（含 Ten Essentials 标记），覆盖装备、炊事、补水、衣物与安全。,Backpack with raincover,,Backpack with raincover,bags,to_pack,undecided,1,,,30-50L 背包适合短至中程过夜线路；防雨罩可提升恶劣天气适应性。,Backpacking Gear,3,draft,https://www.rei.com/favicon.ico
REI-BP-CDP-002,Backpacking Gear List: What to Bring on a Backpacking Trip,https://www.rei.com/learn/expert-advice/backpacking-checklist.html,REI Co-op,en,article,,,,"backpacking / wilderness / overnight",REI 背包徒步清单（含 Ten Essentials 标记），覆盖装备、炊事、补水、衣物与安全。,Backpacking tent (with stakes guylines),,Backpacking tent (with stakes guylines),camping,to_pack,undecided,1,,,帐篷与地钉/风绳需成套携带，保证夜间庇护稳定性。,Backpacking Gear,3,draft,https://www.rei.com/favicon.ico
REI-BP-CDP-003,Backpacking Gear List: What to Bring on a Backpacking Trip,https://www.rei.com/learn/expert-advice/backpacking-checklist.html,REI Co-op,en,article,,,,"backpacking / wilderness / overnight",REI 背包徒步清单（含 Ten Essentials 标记），覆盖装备、炊事、补水、衣物与安全。,Sleeping bag (with stuff sack),,Sleeping bag (with stuff sack),camping,to_pack,undecided,1,,,睡袋与压缩袋组合便于收纳和保温管理。,Backpacking Gear,3,draft,https://www.rei.com/favicon.ico
REI-BP-CDP-004,Backpacking Gear List: What to Bring on a Backpacking Trip,https://www.rei.com/learn/expert-advice/backpacking-checklist.html,REI Co-op,en,article,,,,"backpacking / wilderness / overnight",REI 背包徒步清单（含 Ten Essentials 标记），覆盖装备、炊事、补水、衣物与安全。,Sleeping pad,,Sleeping pad,camping,to_pack,undecided,1,,,防潮睡垫提升睡眠质量并减少地面失温。,Backpacking Gear,3,draft,https://www.rei.com/favicon.ico
REI-BP-CDP-005,Backpacking Gear List: What to Bring on a Backpacking Trip,https://www.rei.com/learn/expert-advice/backpacking-checklist.html,REI Co-op,en,article,,,,"backpacking / wilderness / overnight",REI 背包徒步清单（含 Ten Essentials 标记），覆盖装备、炊事、补水、衣物与安全。,Headlamp or flashlight (with extra batteries),,Headlamp or flashlight (with extra batteries),electronics,to_pack,undecided,1,,,照明设备属于关键安全项，必须配备用电池。,Backpacking Gear / Ten Essentials,3,draft,https://www.rei.com/favicon.ico
REI-BP-CDP-006,Backpacking Gear List: What to Bring on a Backpacking Trip,https://www.rei.com/learn/expert-advice/backpacking-checklist.html,REI Co-op,en,article,,,,"backpacking / wilderness / overnight",REI 背包徒步清单（含 Ten Essentials 标记），覆盖装备、炊事、补水、衣物与安全。,Backpacking stove,,Backpacking stove,camping,to_pack,undecided,1,,,背包炉头用于热食与热水补给，是多日路线核心装备。,Backcountry Kitchen,3,draft,https://www.rei.com/favicon.ico
REI-BP-CDP-007,Backpacking Gear List: What to Bring on a Backpacking Trip,https://www.rei.com/learn/expert-advice/backpacking-checklist.html,REI Co-op,en,article,,,,"backpacking / wilderness / overnight",REI 背包徒步清单（含 Ten Essentials 标记），覆盖装备、炊事、补水、衣物与安全。,Fuel,,Fuel,camping,to_pack,undecided,1,,,炉具燃料需按天数和温度预估冗余，避免中途不足。,Backcountry Kitchen,3,draft,https://www.rei.com/favicon.ico
REI-BP-CDP-008,Backpacking Gear List: What to Bring on a Backpacking Trip,https://www.rei.com/learn/expert-advice/backpacking-checklist.html,REI Co-op,en,article,,,,"backpacking / wilderness / overnight",REI 背包徒步清单（含 Ten Essentials 标记），覆盖装备、炊事、补水、衣物与安全。,Cookset (with pot grabber),,Cookset (with pot grabber),camping,to_pack,undecided,1,,,锅具与抓手成套可降低烫伤风险并提升炊事效率。,Backcountry Kitchen,3,draft,https://www.rei.com/favicon.ico
REI-BP-CDP-009,Backpacking Gear List: What to Bring on a Backpacking Trip,https://www.rei.com/learn/expert-advice/backpacking-checklist.html,REI Co-op,en,article,,,,"backpacking / wilderness / overnight",REI 背包徒步清单（含 Ten Essentials 标记），覆盖装备、炊事、补水、衣物与安全。,Water bottles and/or reservoir,,Water bottles and/or reservoir,nutrition,to_pack,undecided,1,,,根据路线水源密度规划携水能力。,Food & Water,3,draft,https://www.rei.com/favicon.ico
REI-BP-CDP-010,Backpacking Gear List: What to Bring on a Backpacking Trip,https://www.rei.com/learn/expert-advice/backpacking-checklist.html,REI Co-op,en,article,,,,"backpacking / wilderness / overnight",REI 背包徒步清单（含 Ten Essentials 标记），覆盖装备、炊事、补水、衣物与安全。,Water filter/purifier or chemical treatment,,Water filter/purifier or chemical treatment,first_aid,to_pack,undecided,1,,,野外补水必须配净化手段，避免水源污染风险。,Food & Water / Ten Essentials,3,draft,https://www.rei.com/favicon.ico
