record_id,source_title,source_url_or_ref,author_name,source_language,source_type,published_at,trip_time_start,trip_time_end,trip_style,summary_zh,item_name_raw,item_name_zh,item_name_en,category,status_recommend,container_recommend,quantity_recommend,brand_raw,brand_normalized,reason_raw,source_quote_or_timecode,confidence_item,record_status,source_logo_url
REI_SNOWSHOE_CHECKLIST-CDP-001,Snowshoeing Checklist: What to Bring,https://www.rei.com/learn/expert-advice/snowshoe-checklist.html,REI Co-op,en,article,,,,snowshoe / winter-dayhike / backcountry,REI 雪鞋日徒步清单，强调寒冷环境分层穿着与补给。,Snowshoe poles or trekking poles with snow baskets,,Snowshoe poles or trekking poles with snow baskets,footwear,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Boots,3,draft,https://www.rei.com/favicon.ico
REI_SNOWSHOE_CHECKLIST-CDP-002,Snowshoeing Checklist: What to Bring,https://www.rei.com/learn/expert-advice/snowshoe-checklist.html,REI Co-op,en,article,,,,snowshoe / winter-dayhike / backcountry,REI 雪鞋日徒步清单，强调寒冷环境分层穿着与补给。,Moisture-wicking long underwear (wool or synthetic),,Moisture-wicking long underwear (wool or synthetic),clothing,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Clothing & Footwear,3,draft,https://www.rei.com/favicon.ico
REI_SNOWSHOE_CHECKLIST-CDP-003,Snowshoeing Checklist: What to Bring,https://www.rei.com/learn/expert-advice/snowshoe-checklist.html,REI Co-op,en,article,,,,snowshoe / winter-dayhike / backcountry,REI 雪鞋日徒步清单，强调寒冷环境分层穿着与补给。,Insulated jacket or vest,,Insulated jacket or vest,clothing,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Clothing & Footwear,3,draft,https://www.rei.com/favicon.ico
REI_SNOWSHOE_CHECKLIST-CDP-004,Snowshoeing Checklist: What to Bring,https://www.rei.com/learn/expert-advice/snowshoe-checklist.html,REI Co-op,en,article,,,,snowshoe / winter-dayhike / backcountry,REI 雪鞋日徒步清单，强调寒冷环境分层穿着与补给。,Waterproof/breathable rain gear (jackets and pants),,Waterproof/breathable rain gear (jackets and pants),nutrition,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Clothing & Footwear,3,draft,https://www.rei.com/favicon.ico
REI_SNOWSHOE_CHECKLIST-CDP-005,Snowshoeing Checklist: What to Bring,https://www.rei.com/learn/expert-advice/snowshoe-checklist.html,REI Co-op,en,article,,,,snowshoe / winter-dayhike / backcountry,REI 雪鞋日徒步清单，强调寒冷环境分层穿着与补给。,Snow pants or bibs,,Snow pants or bibs,clothing,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Clothing & Footwear,3,draft,https://www.rei.com/favicon.ico
REI_SNOWSHOE_CHECKLIST-CDP-006,Snowshoeing Checklist: What to Bring,https://www.rei.com/learn/expert-advice/snowshoe-checklist.html,REI Co-op,en,article,,,,snowshoe / winter-dayhike / backcountry,REI 雪鞋日徒步清单，强调寒冷环境分层穿着与补给。,Soft-shell jacket and pants,,Soft-shell jacket and pants,clothing,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Clothing & Footwear,3,draft,https://www.rei.com/favicon.ico
REI_SNOWSHOE_CHECKLIST-CDP-007,Snowshoeing Checklist: What to Bring,https://www.rei.com/learn/expert-advice/snowshoe-checklist.html,REI Co-op,en,article,,,,snowshoe / winter-dayhike / backcountry,REI 雪鞋日徒步清单，强调寒冷环境分层穿着与补给。,Gaiters (tall and waterproof),,Gaiters (tall and waterproof),nutrition,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Clothing & Footwear,3,draft,https://www.rei.com/favicon.ico
REI_SNOWSHOE_CHECKLIST-CDP-008,Snowshoeing Checklist: What to Bring,https://www.rei.com/learn/expert-advice/snowshoe-checklist.html,REI Co-op,en,article,,,,snowshoe / winter-dayhike / backcountry,REI 雪鞋日徒步清单，强调寒冷环境分层穿着与补给。,"Ski socks or hiking socks (wool or synthetic), plus spares",,"Ski socks or hiking socks (wool or synthetic), plus spares",footwear,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Clothing & Footwear,3,draft,https://www.rei.com/favicon.ico
REI_SNOWSHOE_CHECKLIST-CDP-009,Snowshoeing Checklist: What to Bring,https://www.rei.com/learn/expert-advice/snowshoe-checklist.html,REI Co-op,en,article,,,,snowshoe / winter-dayhike / backcountry,REI 雪鞋日徒步清单，强调寒冷环境分层穿着与补给。,Ski gloves or mittens (waterproof and insulated),,Ski gloves or mittens (waterproof and insulated),nutrition,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Clothing & Footwear,3,draft,https://www.rei.com/favicon.ico
REI_SNOWSHOE_CHECKLIST-CDP-010,Snowshoeing Checklist: What to Bring,https://www.rei.com/learn/expert-advice/snowshoe-checklist.html,REI Co-op,en,article,,,,snowshoe / winter-dayhike / backcountry,REI 雪鞋日徒步清单，强调寒冷环境分层穿着与补给。,"Warm hat (one that covers your ears, or take an earband)",,"Warm hat (one that covers your ears, or take an earband)",clothing,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Clothing & Footwear,3,draft,https://www.rei.com/favicon.ico
