record_id,source_title,source_url_or_ref,author_name,source_language,source_type,published_at,trip_time_start,trip_time_end,trip_style,summary_zh,item_name_raw,item_name_zh,item_name_en,category,status_recommend,container_recommend,quantity_recommend,brand_raw,brand_normalized,reason_raw,source_quote_or_timecode,confidence_item,record_status,source_logo_url
REI-REI_FESTIVAL_CAMPING_CHECKLIST-001,Festival Camping Checklist,https://www.rei.com/learn/expert-advice/festival-camping-checklist.html,Elle Wayt,en,article,2026-02-09,,,festival / car-camping / social,REI 音乐节露营清单，强调高频人流场景与补给。,Festival ticket,,Festival ticket,documents,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=ok,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_FESTIVAL_CAMPING_CHECKLIST-002,Festival Camping Checklist,https://www.rei.com/learn/expert-advice/festival-camping-checklist.html,Elle Wayt,en,article,2026-02-09,,,festival / car-camping / social,REI 音乐节露营清单，强调高频人流场景与补给。,Wallet + ID + cash,,Wallet + ID + cash,documents,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=ok,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_FESTIVAL_CAMPING_CHECKLIST-003,Festival Camping Checklist,https://www.rei.com/learn/expert-advice/festival-camping-checklist.html,Elle Wayt,en,article,2026-02-09,,,festival / car-camping / social,REI 音乐节露营清单，强调高频人流场景与补给。,Phone + portable charger,,Phone + portable charger,electronics,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=ok,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_FESTIVAL_CAMPING_CHECKLIST-004,Festival Camping Checklist,https://www.rei.com/learn/expert-advice/festival-camping-checklist.html,Elle Wayt,en,article,2026-02-09,,,festival / car-camping / social,REI 音乐节露营清单，强调高频人流场景与补给。,Festival grounds map (screenshot),,Festival grounds map (screenshot),navigation,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=ok,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_FESTIVAL_CAMPING_CHECKLIST-005,Festival Camping Checklist,https://www.rei.com/learn/expert-advice/festival-camping-checklist.html,Elle Wayt,en,article,2026-02-09,,,festival / car-camping / social,REI 音乐节露营清单，强调高频人流场景与补给。,Sun protection (sunscreen/hat/sunglasses),,Sun protection (sunscreen/hat/sunglasses),sun_protection,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=ok,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_FESTIVAL_CAMPING_CHECKLIST-006,Festival Camping Checklist,https://www.rei.com/learn/expert-advice/festival-camping-checklist.html,Elle Wayt,en,article,2026-02-09,,,festival / car-camping / social,REI 音乐节露营清单，强调高频人流场景与补给。,Reusable water bottle/hydration pack,,Reusable water bottle/hydration pack,hydration,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=ok,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_FESTIVAL_CAMPING_CHECKLIST-007,Festival Camping Checklist,https://www.rei.com/learn/expert-advice/festival-camping-checklist.html,Elle Wayt,en,article,2026-02-09,,,festival / car-camping / social,REI 音乐节露营清单，强调高频人流场景与补给。,Snacks,,Snacks,nutrition,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=ok,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_FESTIVAL_CAMPING_CHECKLIST-008,Festival Camping Checklist,https://www.rei.com/learn/expert-advice/festival-camping-checklist.html,Elle Wayt,en,article,2026-02-09,,,festival / car-camping / social,REI 音乐节露营清单，强调高频人流场景与补给。,Tent and stakes,,Tent and stakes,shelter,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=ok,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_FESTIVAL_CAMPING_CHECKLIST-009,Festival Camping Checklist,https://www.rei.com/learn/expert-advice/festival-camping-checklist.html,Elle Wayt,en,article,2026-02-09,,,festival / car-camping / social,REI 音乐节露营清单，强调高频人流场景与补给。,Sleep system,,Sleep system,sleep,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=ok,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_FESTIVAL_CAMPING_CHECKLIST-010,Festival Camping Checklist,https://www.rei.com/learn/expert-advice/festival-camping-checklist.html,Elle Wayt,en,article,2026-02-09,,,festival / car-camping / social,REI 音乐节露营清单，强调高频人流场景与补给。,Camp chair,,Camp chair,camp_furniture,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=ok,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
