record_id,source_title,source_url_or_ref,author_name,source_language,source_type,published_at,trip_time_start,trip_time_end,trip_style,summary_zh,item_name_raw,item_name_zh,item_name_en,category,status_recommend,container_recommend,quantity_recommend,brand_raw,brand_normalized,reason_raw,source_quote_or_timecode,confidence_item,record_status,source_logo_url
REI-TP-CDP-001,Travel Preparation Checklist,https://www.rei.com/learn/expert-advice/travel-preparation-checklist.html,REI Co-op,en,article,,,,"general / pre-trip checklist",REI 出发前准备清单（时间分段），覆盖文档、财务、健康、居家与行程确认。,Packing list,,Packing list,documents,to_pack,undecided,1,,,建议先准备与行程匹配的打包清单，避免临出发遗漏。,10-30 Days Before Departure,3,draft,https://www.rei.com/favicon.ico
REI-TP-CDP-002,Travel Preparation Checklist,https://www.rei.com/learn/expert-advice/travel-preparation-checklist.html,REI Co-op,en,article,,,,"general / pre-trip checklist",REI 出发前准备清单（时间分段），覆盖文档、财务、健康、居家与行程确认。,Pet care arrangement,,Pet care arrangement,other,to_pack,undecided,1,,,节假日寄养资源紧张，建议提前安排宠物照料。,10-30 Days Before Departure,3,draft,https://www.rei.com/favicon.ico
REI-TP-CDP-003,Travel Preparation Checklist,https://www.rei.com/learn/expert-advice/travel-preparation-checklist.html,REI Co-op,en,article,,,,"general / pre-trip checklist",REI 出发前准备清单（时间分段），覆盖文档、财务、健康、居家与行程确认。,Luggage capacity check,,Luggage capacity check,bags,to_pack,undecided,1,,,提前确认行李容量是否足够，避免临时换包。,10-30 Days Before Departure,3,draft,https://www.rei.com/favicon.ico
REI-TP-CDP-004,Travel Preparation Checklist,https://www.rei.com/learn/expert-advice/travel-preparation-checklist.html,REI Co-op,en,article,,,,"general / pre-trip checklist",REI 出发前准备清单（时间分段），覆盖文档、财务、健康、居家与行程确认。,Vehicle maintenance booking,,Vehicle maintenance booking,other,to_pack,undecided,1,,,自驾场景建议提前预约保养，降低途中故障风险。,10-30 Days Before Departure,3,draft,https://www.rei.com/favicon.ico
REI-TP-CDP-005,Travel Preparation Checklist,https://www.rei.com/learn/expert-advice/travel-preparation-checklist.html,REI Co-op,en,article,,,,"general / pre-trip checklist",REI 出发前准备清单（时间分段），覆盖文档、财务、健康、居家与行程确认。,Prescription refill,,Prescription refill,first_aid,to_pack,undecided,1,,,确保处方药供应覆盖全程，避免中途断药。,5-7 Days Before Departure,3,draft,https://www.rei.com/favicon.ico
REI-TP-CDP-006,Travel Preparation Checklist,https://www.rei.com/learn/expert-advice/travel-preparation-checklist.html,REI Co-op,en,article,,,,"general / pre-trip checklist",REI 出发前准备清单（时间分段），覆盖文档、财务、健康、居家与行程确认。,Itinerary sharing copy,,Itinerary sharing copy,documents,to_pack,undecided,1,,,将行程与联系方式留给可信联系人，提升安全性。,5-7 Days Before Departure,3,draft,https://www.rei.com/favicon.ico
REI-TP-CDP-007,Travel Preparation Checklist,https://www.rei.com/learn/expert-advice/travel-preparation-checklist.html,REI Co-op,en,article,,,,"general / pre-trip checklist",REI 出发前准备清单（时间分段），覆盖文档、财务、健康、居家与行程确认。,Travel documents pack,,Travel documents pack,documents,to_pack,undecided,1,,,集中整理机票/护照/地图/许可与医疗信息，减少出发日混乱。,2-4 Days Before Departure,3,draft,https://www.rei.com/favicon.ico
REI-TP-CDP-008,Travel Preparation Checklist,https://www.rei.com/learn/expert-advice/travel-preparation-checklist.html,REI Co-op,en,article,,,,"general / pre-trip checklist",REI 出发前准备清单（时间分段），覆盖文档、财务、健康、居家与行程确认。,Reservation confirmation,,Reservation confirmation,documents,to_pack,undecided,1,,,再次确认交通与住宿预订，避免到场后订单异常。,2-4 Days Before Departure,3,draft,https://www.rei.com/favicon.ico
REI-TP-CDP-009,Travel Preparation Checklist,https://www.rei.com/learn/expert-advice/travel-preparation-checklist.html,REI Co-op,en,article,,,,"general / pre-trip checklist",REI 出发前准备清单（时间分段），覆盖文档、财务、健康、居家与行程确认。,Weather check and repack,,Weather check and repack,clothing,to_pack,undecided,1,,,按目的地天气复核装备清单，及时增减衣物层级。,2-4 Days Before Departure,3,draft,https://www.rei.com/favicon.ico
REI-TP-CDP-010,Travel Preparation Checklist,https://www.rei.com/learn/expert-advice/travel-preparation-checklist.html,REI Co-op,en,article,,,,"general / pre-trip checklist",REI 出发前准备清单（时间分段），覆盖文档、财务、健康、居家与行程确认。,Online check-in and boarding pass,,Online check-in and boarding pass,documents,to_pack,undecided,1,,,提前线上值机并准备登机牌可降低机场排队时间。,1 Day Before Departure,3,draft,https://www.rei.com/favicon.ico
REI-TP-CDP-011,Travel Preparation Checklist,https://www.rei.com/learn/expert-advice/travel-preparation-checklist.html,REI Co-op,en,article,,,,"general / pre-trip checklist",REI 出发前准备清单（时间分段），覆盖文档、财务、健康、居家与行程确认。,Out-of-office auto reply,,Out-of-office auto reply,documents,to_pack,undecided,1,,,设置自动回复，降低出行期间沟通中断带来的风险。,1 Day Before Departure,3,draft,https://www.rei.com/favicon.ico
REI-TP-CDP-012,Travel Preparation Checklist,https://www.rei.com/learn/expert-advice/travel-preparation-checklist.html,REI Co-op,en,article,,,,"general / pre-trip checklist",REI 出发前准备清单（时间分段），覆盖文档、财务、健康、居家与行程确认。,Unplug idle appliances,,Unplug idle appliances,electronics,to_pack,undecided,1,,,出发当日断开闲置电器可降低安全与能耗风险。,Day of Departure,3,draft,https://www.rei.com/favicon.ico
