record_id,source_title,source_url_or_ref,author_name,source_language,source_type,published_at,trip_time_start,trip_time_end,trip_style,summary_zh,item_name_raw,item_name_zh,item_name_en,category,status_recommend,container_recommend,quantity_recommend,brand_raw,brand_normalized,reason_raw,source_quote_or_timecode,confidence_item,record_status,source_logo_url
AUTH-REDCROSS_EMERGENCY_KIT_CHECKLIST-001,What Do You Need In a Survival Kit,https://www.redcross.org/get-help/prepare-for-emergencies/be-red-cross-ready/get-a-kit,American Red Cross,en,article,FETCH_FAILED_NOT_EXPLICIT_ON_PAGE,,,emergency-prep / evacuation / household-travel,美国红十字会应急物资清单，可用于出行和户外应急包基线。,Water (1 gallon/person/day),,Water (1 gallon/person/day),hydration,to_pack,undecided,,,,author/source/published 强制提取；published_at 未在可访问页面稳定定位,scene_tag: emergency-go-bag,3,draft,https://www.redcross.org/favicon.ico
AUTH-REDCROSS_EMERGENCY_KIT_CHECKLIST-002,What Do You Need In a Survival Kit,https://www.redcross.org/get-help/prepare-for-emergencies/be-red-cross-ready/get-a-kit,American Red Cross,en,article,FETCH_FAILED_NOT_EXPLICIT_ON_PAGE,,,emergency-prep / evacuation / household-travel,美国红十字会应急物资清单，可用于出行和户外应急包基线。,Nonperishable food,,Nonperishable food,nutrition,to_pack,undecided,,,,author/source/published 强制提取；published_at 未在可访问页面稳定定位,scene_tag: emergency-go-bag,3,draft,https://www.redcross.org/favicon.ico
AUTH-REDCROSS_EMERGENCY_KIT_CHECKLIST-003,What Do You Need In a Survival Kit,https://www.redcross.org/get-help/prepare-for-emergencies/be-red-cross-ready/get-a-kit,American Red Cross,en,article,FETCH_FAILED_NOT_EXPLICIT_ON_PAGE,,,emergency-prep / evacuation / household-travel,美国红十字会应急物资清单，可用于出行和户外应急包基线。,Flashlight,,Flashlight,electronics,to_pack,undecided,,,,author/source/published 强制提取；published_at 未在可访问页面稳定定位,scene_tag: emergency-go-bag,3,draft,https://www.redcross.org/favicon.ico
AUTH-REDCROSS_EMERGENCY_KIT_CHECKLIST-004,What Do You Need In a Survival Kit,https://www.redcross.org/get-help/prepare-for-emergencies/be-red-cross-ready/get-a-kit,American Red Cross,en,article,FETCH_FAILED_NOT_EXPLICIT_ON_PAGE,,,emergency-prep / evacuation / household-travel,美国红十字会应急物资清单，可用于出行和户外应急包基线。,Battery or hand-crank radio,,Battery or hand-crank radio,electronics,to_pack,undecided,,,,author/source/published 强制提取；published_at 未在可访问页面稳定定位,scene_tag: emergency-go-bag,3,draft,https://www.redcross.org/favicon.ico
AUTH-REDCROSS_EMERGENCY_KIT_CHECKLIST-005,What Do You Need In a Survival Kit,https://www.redcross.org/get-help/prepare-for-emergencies/be-red-cross-ready/get-a-kit,American Red Cross,en,article,FETCH_FAILED_NOT_EXPLICIT_ON_PAGE,,,emergency-prep / evacuation / household-travel,美国红十字会应急物资清单，可用于出行和户外应急包基线。,Extra batteries,,Extra batteries,electronics,to_pack,undecided,,,,author/source/published 强制提取；published_at 未在可访问页面稳定定位,scene_tag: emergency-go-bag,3,draft,https://www.redcross.org/favicon.ico
AUTH-REDCROSS_EMERGENCY_KIT_CHECKLIST-006,What Do You Need In a Survival Kit,https://www.redcross.org/get-help/prepare-for-emergencies/be-red-cross-ready/get-a-kit,American Red Cross,en,article,FETCH_FAILED_NOT_EXPLICIT_ON_PAGE,,,emergency-prep / evacuation / household-travel,美国红十字会应急物资清单，可用于出行和户外应急包基线。,First-aid kit,,First-aid kit,first_aid,to_pack,undecided,,,,author/source/published 强制提取；published_at 未在可访问页面稳定定位,scene_tag: emergency-go-bag,3,draft,https://www.redcross.org/favicon.ico
AUTH-REDCROSS_EMERGENCY_KIT_CHECKLIST-007,What Do You Need In a Survival Kit,https://www.redcross.org/get-help/prepare-for-emergencies/be-red-cross-ready/get-a-kit,American Red Cross,en,article,FETCH_FAILED_NOT_EXPLICIT_ON_PAGE,,,emergency-prep / evacuation / household-travel,美国红十字会应急物资清单，可用于出行和户外应急包基线。,7-day medications,,7-day medications,first_aid,to_pack,undecided,,,,author/source/published 强制提取；published_at 未在可访问页面稳定定位,scene_tag: emergency-go-bag,3,draft,https://www.redcross.org/favicon.ico
AUTH-REDCROSS_EMERGENCY_KIT_CHECKLIST-008,What Do You Need In a Survival Kit,https://www.redcross.org/get-help/prepare-for-emergencies/be-red-cross-ready/get-a-kit,American Red Cross,en,article,FETCH_FAILED_NOT_EXPLICIT_ON_PAGE,,,emergency-prep / evacuation / household-travel,美国红十字会应急物资清单，可用于出行和户外应急包基线。,Personal documents copies,,Personal documents copies,documents,to_pack,undecided,,,,author/source/published 强制提取；published_at 未在可访问页面稳定定位,scene_tag: emergency-go-bag,3,draft,https://www.redcross.org/favicon.ico
AUTH-REDCROSS_EMERGENCY_KIT_CHECKLIST-009,What Do You Need In a Survival Kit,https://www.redcross.org/get-help/prepare-for-emergencies/be-red-cross-ready/get-a-kit,American Red Cross,en,article,FETCH_FAILED_NOT_EXPLICIT_ON_PAGE,,,emergency-prep / evacuation / household-travel,美国红十字会应急物资清单，可用于出行和户外应急包基线。,Cash,,Cash,documents,to_pack,undecided,,,,author/source/published 强制提取；published_at 未在可访问页面稳定定位,scene_tag: emergency-go-bag,3,draft,https://www.redcross.org/favicon.ico
AUTH-REDCROSS_EMERGENCY_KIT_CHECKLIST-010,What Do You Need In a Survival Kit,https://www.redcross.org/get-help/prepare-for-emergencies/be-red-cross-ready/get-a-kit,American Red Cross,en,article,FETCH_FAILED_NOT_EXPLICIT_ON_PAGE,,,emergency-prep / evacuation / household-travel,美国红十字会应急物资清单，可用于出行和户外应急包基线。,Emergency blanket,,Emergency blanket,sleep,to_pack,undecided,,,,author/source/published 强制提取；published_at 未在可访问页面稳定定位,scene_tag: emergency-go-bag,3,draft,https://www.redcross.org/favicon.ico
