record_id,source_title,source_url_or_ref,author_name,source_language,source_type,published_at,trip_time_start,trip_time_end,trip_style,summary_zh,item_name_raw,item_name_zh,item_name_en,category,status_recommend,container_recommend,quantity_recommend,brand_raw,brand_normalized,reason_raw,source_quote_or_timecode,confidence_item,record_status,source_logo_url
REI_KAYAK_DAY_TOURING_CHECKLIST-CDP-001,Kayaking Checklist: What to Bring Kayaking,https://www.rei.com/learn/expert-advice/kayak-day-touring-checklist.html,REI Co-op,en,article,,,,kayak / day-touring / flatwater,REI 皮划艇日间巡航清单，覆盖基础艇装与扩展安全装备。,"Recommended for Short, Recreational Outings",,"Recommended for Short, Recreational Outings",other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Kayak Gear,3,draft,https://www.rei.com/favicon.ico
REI_KAYAK_DAY_TOURING_CHECKLIST-CDP-002,Kayaking Checklist: What to Bring Kayaking,https://www.rei.com/learn/expert-advice/kayak-day-touring-checklist.html,REI Co-op,en,article,,,,kayak / day-touring / flatwater,REI 皮划艇日间巡航清单，覆盖基础艇装与扩展安全装备。,"Paddle (1 per paddler), plus spare",,"Paddle (1 per paddler), plus spare",camping,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Kayak,3,draft,https://www.rei.com/favicon.ico
REI_KAYAK_DAY_TOURING_CHECKLIST-CDP-003,Kayaking Checklist: What to Bring Kayaking,https://www.rei.com/learn/expert-advice/kayak-day-touring-checklist.html,REI Co-op,en,article,,,,kayak / day-touring / flatwater,REI 皮划艇日间巡航清单，覆盖基础艇装与扩展安全装备。,Personal flotation device (1 per paddler),,Personal flotation device (1 per paddler),camping,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Kayak,3,draft,https://www.rei.com/favicon.ico
REI_KAYAK_DAY_TOURING_CHECKLIST-CDP-004,Kayaking Checklist: What to Bring Kayaking,https://www.rei.com/learn/expert-advice/kayak-day-touring-checklist.html,REI Co-op,en,article,,,,kayak / day-touring / flatwater,REI 皮划艇日间巡航清单，覆盖基础艇装与扩展安全装备。,Spray skirt (for cold weather/water),,Spray skirt (for cold weather/water),nutrition,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Bilge pump,3,draft,https://www.rei.com/favicon.ico
REI_KAYAK_DAY_TOURING_CHECKLIST-CDP-005,Kayaking Checklist: What to Bring Kayaking,https://www.rei.com/learn/expert-advice/kayak-day-touring-checklist.html,REI Co-op,en,article,,,,kayak / day-touring / flatwater,REI 皮划艇日间巡航清单，覆盖基础艇装与扩展安全装备。,Dry bag for personal items,,Dry bag for personal items,bags,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Bilge pump,3,draft,https://www.rei.com/favicon.ico
REI_KAYAK_DAY_TOURING_CHECKLIST-CDP-006,Kayaking Checklist: What to Bring Kayaking,https://www.rei.com/learn/expert-advice/kayak-day-touring-checklist.html,REI Co-op,en,article,,,,kayak / day-touring / flatwater,REI 皮划艇日间巡航清单，覆盖基础艇装与扩展安全装备。,Headlamp/light with extra batteries (in case you're out after dusk),,Headlamp/light with extra batteries (in case you're out after dusk),electronics,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Bilge pump,3,draft,https://www.rei.com/favicon.ico
REI_KAYAK_DAY_TOURING_CHECKLIST-CDP-007,Kayaking Checklist: What to Bring Kayaking,https://www.rei.com/learn/expert-advice/kayak-day-touring-checklist.html,REI Co-op,en,article,,,,kayak / day-touring / flatwater,REI 皮划艇日间巡航清单，覆盖基础艇装与扩展安全装备。,Additional Recommendations for Extended Trips / Overnights,,Additional Recommendations for Extended Trips / Overnights,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Signaling whistle,3,draft,https://www.rei.com/favicon.ico
REI_KAYAK_DAY_TOURING_CHECKLIST-CDP-008,Kayaking Checklist: What to Bring Kayaking,https://www.rei.com/learn/expert-advice/kayak-day-touring-checklist.html,REI Co-op,en,article,,,,kayak / day-touring / flatwater,REI 皮划艇日间巡航清单，覆盖基础艇装与扩展安全装备。,Paddling knife (attached to PFD),,Paddling knife (attached to PFD),camping,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Paddle float,3,draft,https://www.rei.com/favicon.ico
REI_KAYAK_DAY_TOURING_CHECKLIST-CDP-009,Kayaking Checklist: What to Bring Kayaking,https://www.rei.com/learn/expert-advice/kayak-day-touring-checklist.html,REI Co-op,en,article,,,,kayak / day-touring / flatwater,REI 皮划艇日间巡航清单，覆盖基础艇装与扩展安全装备。,Maps and charts in waterproof case,,Maps and charts in waterproof case,documents,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Towline,3,draft,https://www.rei.com/favicon.ico
REI_KAYAK_DAY_TOURING_CHECKLIST-CDP-010,Kayaking Checklist: What to Bring Kayaking,https://www.rei.com/learn/expert-advice/kayak-day-touring-checklist.html,REI Co-op,en,article,,,,kayak / day-touring / flatwater,REI 皮划艇日间巡航清单，覆盖基础艇装与扩展安全装备。,Compass (that floats),,Compass (that floats),documents,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Towline,3,draft,https://www.rei.com/favicon.ico
