record_id,source_title,source_url_or_ref,author_name,source_language,source_type,published_at,trip_time_start,trip_time_end,trip_style,summary_zh,item_name_raw,item_name_zh,item_name_en,category,status_recommend,container_recommend,quantity_recommend,brand_raw,brand_normalized,reason_raw,source_quote_or_timecode,confidence_item,record_status,source_logo_url
REI_FESTIVAL_CAMPING_CHECKLIST-CDP-001,Festival Camping Checklist,https://www.rei.com/learn/expert-advice/festival-camping-checklist.html,REI Co-op,en,article,,,,festival / car-camping / social,REI 音乐节露营清单，强调高频人流场景与补给。,Elle Wayt| Updated 2026年2月9日,,Elle Wayt| Updated 2026年2月9日,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Festival Camping Checklist,3,draft,https://www.rei.com/favicon.ico
REI_FESTIVAL_CAMPING_CHECKLIST-CDP-002,Festival Camping Checklist,https://www.rei.com/learn/expert-advice/festival-camping-checklist.html,REI Co-op,en,article,,,,festival / car-camping / social,REI 音乐节露营清单，强调高频人流场景与补给。,10 festival essentials,,10 festival essentials,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Read on or jump ahead to relevant sections,3,draft,https://www.rei.com/favicon.ico
REI_FESTIVAL_CAMPING_CHECKLIST-CDP-003,Festival Camping Checklist,https://www.rei.com/learn/expert-advice/festival-camping-checklist.html,REI Co-op,en,article,,,,festival / car-camping / social,REI 音乐节露营清单，强调高频人流场景与补给。,What to bring to the main stage,,What to bring to the main stage,clothing,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Camp kitchen,3,draft,https://www.rei.com/favicon.ico
REI_FESTIVAL_CAMPING_CHECKLIST-CDP-004,Festival Camping Checklist,https://www.rei.com/learn/expert-advice/festival-camping-checklist.html,REI Co-op,en,article,,,,festival / car-camping / social,REI 音乐节露营清单，强调高频人流场景与补给。,Useful clothing and accessories,,Useful clothing and accessories,clothing,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Camp kitchen,3,draft,https://www.rei.com/favicon.ico
REI_FESTIVAL_CAMPING_CHECKLIST-CDP-005,Festival Camping Checklist,https://www.rei.com/learn/expert-advice/festival-camping-checklist.html,REI Co-op,en,article,,,,festival / car-camping / social,REI 音乐节露营清单，强调高频人流场景与补给。,Comfortable footwear and plenty of water are non-negotiables.,,Comfortable footwear and plenty of water are non-negotiables.,nutrition,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Camp kitchen,3,draft,https://www.rei.com/favicon.ico
REI_FESTIVAL_CAMPING_CHECKLIST-CDP-006,Festival Camping Checklist,https://www.rei.com/learn/expert-advice/festival-camping-checklist.html,REI Co-op,en,article,,,,festival / car-camping / social,REI 音乐节露营清单，强调高频人流场景与补给。,"Pots, pans",,"Pots, pans",other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Camping cookware,3,draft,https://www.rei.com/favicon.ico
REI_FESTIVAL_CAMPING_CHECKLIST-CDP-007,Festival Camping Checklist,https://www.rei.com/learn/expert-advice/festival-camping-checklist.html,REI Co-op,en,article,,,,festival / car-camping / social,REI 音乐节露营清单，强调高频人流场景与补给。,Cooking utensils like a spatula or cutting board,,Cooking utensils like a spatula or cutting board,nutrition,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Camping cookware,3,draft,https://www.rei.com/favicon.ico
REI_FESTIVAL_CAMPING_CHECKLIST-CDP-008,Festival Camping Checklist,https://www.rei.com/learn/expert-advice/festival-camping-checklist.html,REI Co-op,en,article,,,,festival / car-camping / social,REI 音乐节露营清单，强调高频人流场景与补给。,Multi-tool or knife,,Multi-tool or knife,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Camping cookware,3,draft,https://www.rei.com/favicon.ico
REI_FESTIVAL_CAMPING_CHECKLIST-CDP-009,Festival Camping Checklist,https://www.rei.com/learn/expert-advice/festival-camping-checklist.html,REI Co-op,en,article,,,,festival / car-camping / social,REI 音乐节露营清单，强调高频人流场景与补给。,Biodegradable soap: Better for the environment and festival-friendly.,,Biodegradable soap: Better for the environment and festival-friendly.,nutrition,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Cleanup and hygiene,3,draft,https://www.rei.com/favicon.ico
REI_FESTIVAL_CAMPING_CHECKLIST-CDP-010,Festival Camping Checklist,https://www.rei.com/learn/expert-advice/festival-camping-checklist.html,REI Co-op,en,article,,,,festival / car-camping / social,REI 音乐节露营清单，强调高频人流场景与补给。,Optional: Hand fan,,Optional: Hand fan,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Snacks like nutrition bars,3,draft,https://www.rei.com/favicon.ico
