record_id,source_title,source_url_or_ref,author_name,source_language,source_type,published_at,trip_time_start,trip_time_end,trip_style,summary_zh,item_name_raw,item_name_zh,item_name_en,category,status_recommend,container_recommend,quantity_recommend,brand_raw,brand_normalized,reason_raw,source_quote_or_timecode,confidence_item,record_status,source_logo_url
REI-REI_FAMILY_CAMPING_CHECKLIST-001,Camping Essentials Checklist,https://www.rei.com/learn/expert-advice/family-camping-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,family-camping / car-camping / frontcountry,REI 家庭露营基础清单，适合营地车载露营。,Tent + footprint + stakes,,Tent + footprint + stakes,shelter,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: https://www.rei.com/dam/family_camping_checklist_final.pdf,2,draft,https://www.rei.com/favicon.ico
REI-REI_FAMILY_CAMPING_CHECKLIST-002,Camping Essentials Checklist,https://www.rei.com/learn/expert-advice/family-camping-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,family-camping / car-camping / frontcountry,REI 家庭露营基础清单，适合营地车载露营。,Sleeping bags,,Sleeping bags,sleep,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: https://www.rei.com/dam/family_camping_checklist_final.pdf,2,draft,https://www.rei.com/favicon.ico
REI-REI_FAMILY_CAMPING_CHECKLIST-003,Camping Essentials Checklist,https://www.rei.com/learn/expert-advice/family-camping-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,family-camping / car-camping / frontcountry,REI 家庭露营基础清单，适合营地车载露营。,Sleeping pads,,Sleeping pads,sleep,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: https://www.rei.com/dam/family_camping_checklist_final.pdf,2,draft,https://www.rei.com/favicon.ico
REI-REI_FAMILY_CAMPING_CHECKLIST-004,Camping Essentials Checklist,https://www.rei.com/learn/expert-advice/family-camping-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,family-camping / car-camping / frontcountry,REI 家庭露营基础清单，适合营地车载露营。,Lantern/headlamp,,Lantern/headlamp,electronics,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: https://www.rei.com/dam/family_camping_checklist_final.pdf,2,draft,https://www.rei.com/favicon.ico
REI-REI_FAMILY_CAMPING_CHECKLIST-005,Camping Essentials Checklist,https://www.rei.com/learn/expert-advice/family-camping-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,family-camping / car-camping / frontcountry,REI 家庭露营基础清单，适合营地车载露营。,Camp chairs + table,,Camp chairs + table,camp_furniture,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: https://www.rei.com/dam/family_camping_checklist_final.pdf,2,draft,https://www.rei.com/favicon.ico
REI-REI_FAMILY_CAMPING_CHECKLIST-006,Camping Essentials Checklist,https://www.rei.com/learn/expert-advice/family-camping-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,family-camping / car-camping / frontcountry,REI 家庭露营基础清单，适合营地车载露营。,Stove + fuel,,Stove + fuel,camp_kitchen,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: https://www.rei.com/dam/family_camping_checklist_final.pdf,2,draft,https://www.rei.com/favicon.ico
REI-REI_FAMILY_CAMPING_CHECKLIST-007,Camping Essentials Checklist,https://www.rei.com/learn/expert-advice/family-camping-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,family-camping / car-camping / frontcountry,REI 家庭露营基础清单，适合营地车载露营。,Cooler,,Cooler,camp_kitchen,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: https://www.rei.com/dam/family_camping_checklist_final.pdf,2,draft,https://www.rei.com/favicon.ico
REI-REI_FAMILY_CAMPING_CHECKLIST-008,Camping Essentials Checklist,https://www.rei.com/learn/expert-advice/family-camping-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,family-camping / car-camping / frontcountry,REI 家庭露营基础清单，适合营地车载露营。,Cook pots/pan + utensils,,Cook pots/pan + utensils,camp_kitchen,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: https://www.rei.com/dam/family_camping_checklist_final.pdf,2,draft,https://www.rei.com/favicon.ico
REI-REI_FAMILY_CAMPING_CHECKLIST-009,Camping Essentials Checklist,https://www.rei.com/learn/expert-advice/family-camping-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,family-camping / car-camping / frontcountry,REI 家庭露营基础清单，适合营地车载露营。,Toilet paper + hand sanitizer,,Toilet paper + hand sanitizer,toiletries,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: https://www.rei.com/dam/family_camping_checklist_final.pdf,2,draft,https://www.rei.com/favicon.ico
REI-REI_FAMILY_CAMPING_CHECKLIST-010,Camping Essentials Checklist,https://www.rei.com/learn/expert-advice/family-camping-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,family-camping / car-camping / frontcountry,REI 家庭露营基础清单，适合营地车载露营。,First-aid kit,,First-aid kit,first_aid,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: https://www.rei.com/dam/family_camping_checklist_final.pdf,2,draft,https://www.rei.com/favicon.ico
REI-REI_FAMILY_CAMPING_CHECKLIST-011,Camping Essentials Checklist,https://www.rei.com/learn/expert-advice/family-camping-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,family-camping / car-camping / frontcountry,REI 家庭露营基础清单，适合营地车载露营。,Layered clothing + rain gear,,Layered clothing + rain gear,clothing,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: https://www.rei.com/dam/family_camping_checklist_final.pdf,2,draft,https://www.rei.com/favicon.ico
