record_id,source_title,source_url_or_ref,author_name,source_language,source_type,published_at,trip_time_start,trip_time_end,trip_style,summary_zh,item_name_raw,item_name_zh,item_name_en,category,status_recommend,container_recommend,quantity_recommend,brand_raw,brand_normalized,reason_raw,source_quote_or_timecode,confidence_item,record_status,source_logo_url
REI_SUP_CHECKLIST-CDP-001,Paddle Boarding Checklist: What to Bring,https://www.rei.com/learn/expert-advice/stand-up-paddleboarding-sup-checklist.html,REI Co-op,en,article,,,,sup / flatwater / day-tour,REI 立式桨板清单，重点是水上安全与保暖策略。,Stand up paddle board (SUP),,Stand up paddle board (SUP),camping,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Essential Gear,3,draft,https://www.rei.com/favicon.ico
REI_SUP_CHECKLIST-CDP-002,Paddle Boarding Checklist: What to Bring,https://www.rei.com/learn/expert-advice/stand-up-paddleboarding-sup-checklist.html,REI Co-op,en,article,,,,sup / flatwater / day-tour,REI 立式桨板清单，重点是水上安全与保暖策略。,Personal flotation device (PFD),,Personal flotation device (PFD),other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,SUP paddle,3,draft,https://www.rei.com/favicon.ico
REI_SUP_CHECKLIST-CDP-003,Paddle Boarding Checklist: What to Bring,https://www.rei.com/learn/expert-advice/stand-up-paddleboarding-sup-checklist.html,REI Co-op,en,article,,,,sup / flatwater / day-tour,REI 立式桨板清单，重点是水上安全与保暖策略。,Pump (for inflatable SUP),,Pump (for inflatable SUP),other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,SUP paddle,3,draft,https://www.rei.com/favicon.ico
REI_SUP_CHECKLIST-CDP-004,Paddle Boarding Checklist: What to Bring,https://www.rei.com/learn/expert-advice/stand-up-paddleboarding-sup-checklist.html,REI Co-op,en,article,,,,sup / flatwater / day-tour,REI 立式桨板清单，重点是水上安全与保暖策略。,Fin(s) for SUP,,Fin(s) for SUP,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,SUP paddle,3,draft,https://www.rei.com/favicon.ico
REI_SUP_CHECKLIST-CDP-005,Paddle Boarding Checklist: What to Bring,https://www.rei.com/learn/expert-advice/stand-up-paddleboarding-sup-checklist.html,REI Co-op,en,article,,,,sup / flatwater / day-tour,REI 立式桨板清单，重点是水上安全与保暖策略。,Headlamp or flashlight (required if paddling after sundown),,Headlamp or flashlight (required if paddling after sundown),camping,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Rescue whistle,3,draft,https://www.rei.com/favicon.ico
REI_SUP_CHECKLIST-CDP-006,Paddle Boarding Checklist: What to Bring,https://www.rei.com/learn/expert-advice/stand-up-paddleboarding-sup-checklist.html,REI Co-op,en,article,,,,sup / flatwater / day-tour,REI 立式桨板清单，重点是水上安全与保暖策略。,Clothing and Footwear,,Clothing and Footwear,clothing,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Rescue whistle,3,draft,https://www.rei.com/favicon.ico
REI_SUP_CHECKLIST-CDP-007,Paddle Boarding Checklist: What to Bring,https://www.rei.com/learn/expert-advice/stand-up-paddleboarding-sup-checklist.html,REI Co-op,en,article,,,,sup / flatwater / day-tour,REI 立式桨板清单，重点是水上安全与保暖策略。,Rashguard or other sun-protective shirt,,Rashguard or other sun-protective shirt,clothing,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,"For warm weather and warm water (>70°F), choose clothing that dries quickly",3,draft,https://www.rei.com/favicon.ico
REI_SUP_CHECKLIST-CDP-008,Paddle Boarding Checklist: What to Bring,https://www.rei.com/learn/expert-advice/stand-up-paddleboarding-sup-checklist.html,REI Co-op,en,article,,,,sup / flatwater / day-tour,REI 立式桨板清单，重点是水上安全与保暖策略。,Board shorts or swimsuit,,Board shorts or swimsuit,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,"For warm weather and warm water (>70°F), choose clothing that dries quickly",3,draft,https://www.rei.com/favicon.ico
REI_SUP_CHECKLIST-CDP-009,Paddle Boarding Checklist: What to Bring,https://www.rei.com/learn/expert-advice/stand-up-paddleboarding-sup-checklist.html,REI Co-op,en,article,,,,sup / flatwater / day-tour,REI 立式桨板清单，重点是水上安全与保暖策略。,"Water shoes, neoprene booties or sandals",,"Water shoes, neoprene booties or sandals",nutrition,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,"For warm weather and warm water (>70°F), choose clothing that dries quickly",3,draft,https://www.rei.com/favicon.ico
REI_SUP_CHECKLIST-CDP-010,Paddle Boarding Checklist: What to Bring,https://www.rei.com/learn/expert-advice/stand-up-paddleboarding-sup-checklist.html,REI Co-op,en,article,,,,sup / flatwater / day-tour,REI 立式桨板清单，重点是水上安全与保暖策略。,Hat retainer leash (optional),,Hat retainer leash (optional),clothing,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Sun-shielding hat,3,draft,https://www.rei.com/favicon.ico
REI_SUP_CHECKLIST-CDP-011,Paddle Boarding Checklist: What to Bring,https://www.rei.com/learn/expert-advice/stand-up-paddleboarding-sup-checklist.html,REI Co-op,en,article,,,,sup / flatwater / day-tour,REI 立式桨板清单，重点是水上安全与保暖策略。,"Neoprene top and shorts, or",,"Neoprene top and shorts, or",other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,"For cold weather and/or cold water (<60°F), choose clothing that insulates",3,draft,https://www.rei.com/favicon.ico
REI_SUP_CHECKLIST-CDP-012,Paddle Boarding Checklist: What to Bring,https://www.rei.com/learn/expert-advice/stand-up-paddleboarding-sup-checklist.html,REI Co-op,en,article,,,,sup / flatwater / day-tour,REI 立式桨板清单，重点是水上安全与保暖策略。,Wool/synthetic cap,,Wool/synthetic cap,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Paddling gloves,3,draft,https://www.rei.com/favicon.ico
REI_SUP_CHECKLIST-CDP-013,Paddle Boarding Checklist: What to Bring,https://www.rei.com/learn/expert-advice/stand-up-paddleboarding-sup-checklist.html,REI Co-op,en,article,,,,sup / flatwater / day-tour,REI 立式桨板清单，重点是水上安全与保暖策略。,Wool/synthetic socks,,Wool/synthetic socks,footwear,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Paddling gloves,3,draft,https://www.rei.com/favicon.ico
REI_SUP_CHECKLIST-CDP-014,Paddle Boarding Checklist: What to Bring,https://www.rei.com/learn/expert-advice/stand-up-paddleboarding-sup-checklist.html,REI Co-op,en,article,,,,sup / flatwater / day-tour,REI 立式桨板清单，重点是水上安全与保暖策略。,Sunscreen (water-resistant SPF 30+),,Sunscreen (water-resistant SPF 30+),first_aid,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Recommended Personal Items,3,draft,https://www.rei.com/favicon.ico
REI_SUP_CHECKLIST-CDP-015,Paddle Boarding Checklist: What to Bring,https://www.rei.com/learn/expert-advice/stand-up-paddleboarding-sup-checklist.html,REI Co-op,en,article,,,,sup / flatwater / day-tour,REI 立式桨板清单，重点是水上安全与保暖策略。,Lip balm (SPF 15+),,Lip balm (SPF 15+),other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Recommended Personal Items,3,draft,https://www.rei.com/favicon.ico
REI_SUP_CHECKLIST-CDP-016,Paddle Boarding Checklist: What to Bring,https://www.rei.com/learn/expert-advice/stand-up-paddleboarding-sup-checklist.html,REI Co-op,en,article,,,,sup / flatwater / day-tour,REI 立式桨板清单，重点是水上安全与保暖策略。,Sunglasses and straps,,Sunglasses and straps,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Recommended Personal Items,3,draft,https://www.rei.com/favicon.ico
REI_SUP_CHECKLIST-CDP-017,Paddle Boarding Checklist: What to Bring,https://www.rei.com/learn/expert-advice/stand-up-paddleboarding-sup-checklist.html,REI Co-op,en,article,,,,sup / flatwater / day-tour,REI 立式桨板清单，重点是水上安全与保暖策略。,Water bottle or hydration reservoir or waistpack (filled),,Water bottle or hydration reservoir or waistpack (filled),nutrition,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Recommended Personal Items,3,draft,https://www.rei.com/favicon.ico
REI_SUP_CHECKLIST-CDP-018,Paddle Boarding Checklist: What to Bring,https://www.rei.com/learn/expert-advice/stand-up-paddleboarding-sup-checklist.html,REI Co-op,en,article,,,,sup / flatwater / day-tour,REI 立式桨板清单，重点是水上安全与保暖策略。,Snacks or lunch,,Snacks or lunch,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Recommended Personal Items,3,draft,https://www.rei.com/favicon.ico
REI_SUP_CHECKLIST-CDP-019,Paddle Boarding Checklist: What to Bring,https://www.rei.com/learn/expert-advice/stand-up-paddleboarding-sup-checklist.html,REI Co-op,en,article,,,,sup / flatwater / day-tour,REI 立式桨板清单，重点是水上安全与保暖策略。,Credit card; small amount of cash,,Credit card; small amount of cash,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Recommended Personal Items,3,draft,https://www.rei.com/favicon.ico
