record_id,source_title,source_url_or_ref,author_name,source_language,source_type,published_at,trip_time_start,trip_time_end,trip_style,summary_zh,item_name_raw,item_name_zh,item_name_en,category,status_recommend,container_recommend,quantity_recommend,brand_raw,brand_normalized,reason_raw,source_quote_or_timecode,confidence_item,record_status
PKH-HOSTEL-001,Hostel Essentials Packing List,https://www.packhacker.com/packing-list/hostel-essentials-packing-list/,Pack Hacker,en,article,,,,hostel / budget / multi-city,以青年旅舍住宿为核心，强调轻量、预算友好与多场景复用。,tomtoc Wander-T26 Daily Sling 5.5L,,tomtoc Wander-T26 Daily Sling 5.5L,bags,to_pack,undecided,,,,来源章节: Bags & Organizers,web line extracted,3,draft
PKH-HOSTEL-002,Hostel Essentials Packing List,https://www.packhacker.com/packing-list/hostel-essentials-packing-list/,Pack Hacker,en,article,,,,hostel / budget / multi-city,以青年旅舍住宿为核心，强调轻量、预算友好与多场景复用。,FORCLAZ Foldable Backpack 10L,,FORCLAZ Foldable Backpack 10L,bags,to_pack,undecided,,,,来源章节: Bags & Organizers,web line extracted,3,draft
PKH-HOSTEL-003,Hostel Essentials Packing List,https://www.packhacker.com/packing-list/hostel-essentials-packing-list/,Pack Hacker,en,article,,,,hostel / budget / multi-city,以青年旅舍住宿为核心，强调轻量、预算友好与多场景复用。,Moment Everything Sling 1L,,Moment Everything Sling 1L,bags,to_pack,undecided,,,,来源章节: Bags & Organizers,web line extracted,3,draft
PKH-HOSTEL-004,Hostel Essentials Packing List,https://www.packhacker.com/packing-list/hostel-essentials-packing-list/,Pack Hacker,en,article,,,,hostel / budget / multi-city,以青年旅舍住宿为核心，强调轻量、预算友好与多场景复用。,Chums Surfshorts Wallet,,Chums Surfshorts Wallet,accessories,to_pack,undecided,,,,来源章节: Bags & Organizers,web line extracted,3,draft
PKH-HOSTEL-005,Hostel Essentials Packing List,https://www.packhacker.com/packing-list/hostel-essentials-packing-list/,Pack Hacker,en,article,,,,hostel / budget / multi-city,以青年旅舍住宿为核心，强调轻量、预算友好与多场景复用。,New Balance Premium Performance Trunks (x3),,New Balance Premium Performance Trunks (x3),clothing,to_pack,undecided,3,,,来源章节: Clothing & Accessories,web line extracted,3,draft
PKH-HOSTEL-006,Hostel Essentials Packing List,https://www.packhacker.com/packing-list/hostel-essentials-packing-list/,Pack Hacker,en,article,,,,hostel / budget / multi-city,以青年旅舍住宿为核心，强调轻量、预算友好与多场景复用。,Saucony Performance Comfort Fit No-Show Socks (x5),,Saucony Performance Comfort Fit No-Show Socks (x5),footwear,to_pack,undecided,5,,,来源章节: Clothing & Accessories,web line extracted,3,draft
PKH-HOSTEL-007,Hostel Essentials Packing List,https://www.packhacker.com/packing-list/hostel-essentials-packing-list/,Pack Hacker,en,article,,,,hostel / budget / multi-city,以青年旅舍住宿为核心，强调轻量、预算友好与多场景复用。,Hanes Sport Cool DRI Performance T-Shirt,,Hanes Sport Cool DRI Performance T-Shirt,clothing,to_pack,undecided,,,,来源章节: Clothing & Accessories,web line extracted,3,draft
PKH-HOSTEL-008,Hostel Essentials Packing List,https://www.packhacker.com/packing-list/hostel-essentials-packing-list/,Pack Hacker,en,article,,,,hostel / budget / multi-city,以青年旅舍住宿为核心，强调轻量、预算友好与多场景复用。,Baleaf Outdoor Running Workout Short-Sleeve T-Shirt (x2),,Baleaf Outdoor Running Workout Short-Sleeve T-Shirt (x2),clothing,to_pack,undecided,2,,,来源章节: Clothing & Accessories,web line extracted,3,draft
PKH-HOSTEL-009,Hostel Essentials Packing List,https://www.packhacker.com/packing-list/hostel-essentials-packing-list/,Pack Hacker,en,article,,,,hostel / budget / multi-city,以青年旅舍住宿为核心，强调轻量、预算友好与多场景复用。,Baleaf Long Sleeve Shirt,,Baleaf Long Sleeve Shirt,clothing,to_pack,undecided,,,,来源章节: Clothing & Accessories,web line extracted,3,draft
PKH-HOSTEL-010,Hostel Essentials Packing List,https://www.packhacker.com/packing-list/hostel-essentials-packing-list/,Pack Hacker,en,article,,,,hostel / budget / multi-city,以青年旅舍住宿为核心，强调轻量、预算友好与多场景复用。,Outdoor Research Trail Mix Quarter Zip Pullover,,Outdoor Research Trail Mix Quarter Zip Pullover,clothing,to_pack,undecided,,,,来源章节: Clothing & Accessories,web line extracted,3,draft
