record_id,source_title,source_url_or_ref,author_name,source_language,source_type,published_at,trip_time_start,trip_time_end,trip_style,summary_zh,item_name_raw,item_name_zh,item_name_en,category,status_recommend,container_recommend,quantity_recommend,brand_raw,brand_normalized,reason_raw,source_quote_or_timecode,confidence_item,record_status
PKH-ROAD-001,Road Trip Packing List,https://www.packhacker.com/packing-list/road-trip-essentials/,Pack Hacker,en,article,,,,road trip / car travel / mixed activities,以公路旅行为主，兼顾车内收纳、途中活动与多天气适配。,TOM BIHN Yeoman Duffel Medium,,TOM BIHN Yeoman Duffel Medium,bags,to_pack,undecided,,TOM BIHN Yeoman,,"A classic duffle that’s ideal for road trips in its simplicity. It’s easy to dump all of your stuff inside the one compartment—basically a giant, cavernous bucket—so you can spend less time packing and more time enjoying the wind in your hair. Its soft sides will squish into the nooks and crannies leftover in your fully packed car. Plus, you can easily grab the comfortable handles and take the duffle into the laundromat (or the hotel if you’re staying more than overnight). Tom Bihn is also known",来源章节: Standalone Bags & Organizers | [See Details & Buying Options](https://www.packhacker.com/travel-gear/tom-bihn/yeoman-duffel-medium/) | [$75.00 on TOM BIHN](https://shareasale.com/r.cfm?b=1813180&u=1595555&m=113008&urllink=www%2Etombihn%2Ecom%2Fproducts%2Fyeoman%2Dduffel%3Fvariant%3D39927441588413&afftrack=),3,draft
PKH-ROAD-002,Road Trip Packing List,https://www.packhacker.com/packing-list/road-trip-essentials/,Pack Hacker,en,article,,,,road trip / car travel / mixed activities,以公路旅行为主，兼顾车内收纳、途中活动与多天气适配。,The North Face Borealis Backpack,,The North Face Borealis Backpack,bags,to_pack,undecided,,The North Face,,"Versatility is key when it comes to choosing the right backpack for a road trip—and that’s why we’re recommending the Borealis. At 28L, this pack is large enough to hold all of the clothes and toiletries you need for a weekend trip, but small enough to act as a daypack for those longer drives. Plus, its dedicated laptop compartment means it’ll work as a laptop bag if you need to head to the coffee shop to get some work done. It’s also a great bag to take on hikes due to its comfortable harness s",来源章节: Standalone Bags & Organizers | [See Review & Buying Options](https://www.packhacker.com/travel-gear/the-north-face/borealis-backpack/) | [$99.00 on REI](https://rei.pxf.io/c/1259410/1448521/17195?u=https%3A%2F%2Fwww.rei.com%2Fproduct%2F236581%2Fthe-north-face-borealis-pack%3Fcm_mmc%3Daff_AL-_-177769-_-226489-_-NA%26avad%3D226489_e4135a135) [$58.93 on REI](https://rei.pxf.io/c/1259410/1448521/17195?u=https%3A%2F%2Fwww.rei.com%2Fproduct%2F236573%2Fthe-north-face-borealis-pack-womens%3Fcm_mmc%3Daff_AL-_-177769-_-226489-_-NA%26avad%3D226489_d413431f1),3,draft
PKH-ROAD-003,Road Trip Packing List,https://www.packhacker.com/packing-list/road-trip-essentials/,Pack Hacker,en,article,,,,road trip / car travel / mixed activities,以公路旅行为主，兼顾车内收纳、途中活动与多天气适配。,Patagonia Atom Sling,,Patagonia Atom Sling,bags,to_pack,undecided,,Patagonia Atom Sling,,"A sling bag is a perfect place to stash your wallet, phone, and keys on the road. Not only so you know where all that important stuff is when not directly using them (trust us, there’s nothing worse than losing your keys in a packed car), but so that you can easily throw your sling over your shoulder and go buy a cup of coffee. It’s also nice for day trips and quick hikes. We’re digging the Atom Sling due to its simple, effective organization as well as the soft mesh on the back panel and should",来源章节: Standalone Bags & Organizers | [See Review & Buying Options](https://www.packhacker.com/travel-gear/patagonia/atom-sling/),3,draft
PKH-ROAD-004,Road Trip Packing List,https://www.packhacker.com/packing-list/road-trip-essentials/,Pack Hacker,en,article,,,,road trip / car travel / mixed activities,以公路旅行为主，兼顾车内收纳、途中活动与多天气适配。,Wool & Prince Boxer Briefs 2.0 (x2),,Wool & Prince Boxer Briefs 2.0 (x2),clothing,to_pack,undecided,2,Wool & Prince,,"You can wear these boxers multiple days in a row without being gross. That in itself makes us like them for life on the road, but they’re also breathable, soft, and moisture-wicking. Plus, the direction of the fabric on the legs runs vertically, so it stretches with your natural movement. Translation: the stretch on these boxers is fantastic. We’re also digging their clean, sophisticated look (no branding on the waistband...yeah, we know!).",来源章节: Clothing & Accessories | [See Review & Buying Options](https://www.packhacker.com/travel-gear/wool-prince/boxer-briefs-2-0/) | [$42.00 on Wool & Prince](https://shareasale.com/r.cfm?b=1257355&u=1595555&m=83434&urllink=https%3A%2F%2Fwoolandprince%2Ecom%2Fcollections%2Fboxer%2Dbriefs&afftrack=),3,draft
PKH-ROAD-005,Road Trip Packing List,https://www.packhacker.com/packing-list/road-trip-essentials/,Pack Hacker,en,article,,,,road trip / car travel / mixed activities,以公路旅行为主，兼顾车内收纳、途中活动与多天气适配。,DUER Live Lite Pant,,DUER Live Lite Pant,clothing,to_pack,undecided,,DUER Live Lite,,"These pants are sleek and polished enough for the city, but versatile enough to work for an eight-hour drive, fast food eating session, or day on the trails. Yes, these pants do it all. We’re huge fans of the crotch gusset, which gives these pants extra flexibility and breathability (two must-haves for long days in the car or hot afternoons exploring).",来源章节: Clothing & Accessories | [See Details & Buying Options](https://www.packhacker.com/travel-gear/duer/live-lite-pant/),3,draft
PKH-ROAD-006,Road Trip Packing List,https://www.packhacker.com/packing-list/road-trip-essentials/,Pack Hacker,en,article,,,,road trip / car travel / mixed activities,以公路旅行为主，兼顾车内收纳、途中活动与多天气适配。,Paskho Ability Modern Traveler Pants,,Paskho Ability Modern Traveler Pants,clothing,to_pack,undecided,,Paskho Ability Modern,,"With a techy, almost sweatpants-y vibe, these pants are ideal for long driving days, traipsing through the forest, or lounging at your Airbnb. We like the technical fabric, which is thin enough that you won’t overheat, but still nice and durable. We’re also digging that the pockets zip all the way up, so you’re less likely to have your phone and/or lucky charm slip out of your pocket and get lost between your seat and the middle console (you know what we’re talking about). The waistband is also ",来源章节: Clothing & Accessories | [See Review & Buying Options](https://www.packhacker.com/travel-gear/paskho/ability-modern-traveler-pants/),3,draft
PKH-ROAD-007,Road Trip Packing List,https://www.packhacker.com/packing-list/road-trip-essentials/,Pack Hacker,en,article,,,,road trip / car travel / mixed activities,以公路旅行为主，兼顾车内收纳、途中活动与多天气适配。,Uniqlo Dry Stretch Easy Shorts,,Uniqlo Dry Stretch Easy Shorts,clothing,to_pack,undecided,,Uniqlo Dry Stretch,,"Shorts that double as swim trunks—sometimes it’s awesome to be living in the 21st century. These shorts are also comfortable, breathable, and stretchy. Plus, they’re available in a variety of subdued and stylish colorways, and won’t break the bank.",来源章节: Clothing & Accessories | [See Details & Buying Options](https://www.packhacker.com/travel-gear/uniqlo/dry-stretch-easy-shorts/),3,draft
PKH-ROAD-008,Road Trip Packing List,https://www.packhacker.com/packing-list/road-trip-essentials/,Pack Hacker,en,article,,,,road trip / car travel / mixed activities,以公路旅行为主，兼顾车内收纳、途中活动与多天气适配。,Outlier Ultrafine Merino T-Shirt,,Outlier Ultrafine Merino T-Shirt,clothing,to_pack,undecided,,Outlier Ultrafine Merino,,"This tee boasts all of the magical properties of Merino wool, including odor-resistance, temperature-regulation, and a fast drying time. It also feels nice—lightweight and breathable, but not thin. All of these features, paired with its simple aesthetic, mean that it’s quite versatile—wear it driving, hiking, lounging, or bar-hopping.",来源章节: Clothing & Accessories | [See Review & Buying Options](https://www.packhacker.com/travel-gear/outlier/ultrafine-merino-t-shirt/),3,draft
PKH-ROAD-009,Road Trip Packing List,https://www.packhacker.com/packing-list/road-trip-essentials/,Pack Hacker,en,article,,,,road trip / car travel / mixed activities,以公路旅行为主，兼顾车内收纳、途中活动与多天气适配。,Patagonia Capilene Cool Daily Shirt,,Patagonia Capilene Cool Daily Shirt,clothing,to_pack,undecided,,Patagonia Capilene Cool,,"With a sporty, outdoorsy vibe, this tee may not be perfect for a five-star restaurant, but it’s great for pretty much everything else. It has built-in UPF sun protection and odor-control that’s comparable to Merino wool (not quite, but close). We like that it’s moisture-wicking and lightweight, so you can turn off the air-conditioning and still keep cool. It’s also quick-drying, so you can use it during any water-activities that may arise on your trip. NOTE: Patagonia is in the process of updati",来源章节: Clothing & Accessories | [See Details & Buying Options](https://www.packhacker.com/travel-gear/patagonia/capilene-cool-daily-shirt/) | [$45.00 on REI](https://rei.pxf.io/c/1259410/1448521/17195?u=https%3A%2F%2Fwww.rei.com%2Fproduct%2F143349%2Fpatagonia-capilene-cool-daily-shirt-mens&partnerpropertyid=1129153) [$45.00 on REI](https://rei.pxf.io/X4xeqX),3,draft
PKH-ROAD-010,Road Trip Packing List,https://www.packhacker.com/packing-list/road-trip-essentials/,Pack Hacker,en,article,,,,road trip / car travel / mixed activities,以公路旅行为主，兼顾车内收纳、途中活动与多天气适配。,Icebreaker Siren Hipkini Briefs (x2),,Icebreaker Siren Hipkini Briefs (x2),clothing,to_pack,undecided,2,Icebreaker Siren Hipkini,,"Made from a blend of Merino wool, the Icebreaker Siren Hipkini Briefs are ideal for life on the go. They’re breathable, quick-drying, comfortable, soft, and more importantly, odor-resistant, so you can go longer between washes (or opt for a quick sink wash instead). Bring two, so you can let each pair breathe between wears.",来源章节: Clothing & Accessories | [See Details & Buying Options](https://www.packhacker.com/travel-gear/icebreaker/siren-hipkini-briefs/) | [$35.00 on REI](https://rei.pxf.io/c/1259410/1448521/17195?u=https%3A%2F%2Fwww.rei.com%2Fc%2Fwomens-briefs) [$35.00 on Public Lands](https://public-lands.sjv.io/AW9XZR) [$35.00 on Amazon](https://www.amazon.com/dp/B07FQG4QG2?tag=23ph-20&linkCode=ogi&th=1&psc=1),3,draft
