record_id,source_title,source_url_or_ref,author_name,source_language,source_type,published_at,trip_time_start,trip_time_end,trip_style,summary_zh,item_name_raw,item_name_zh,item_name_en,category,status_recommend,container_recommend,quantity_recommend,brand_raw,brand_normalized,reason_raw,source_quote_or_timecode,confidence_item,record_status,source_logo_url
REI_FAMILY_CAMPING_CHECKLIST-CDP-001,Camping Essentials Checklist,https://www.rei.com/learn/expert-advice/family-camping-checklist.html,REI Co-op,en,article,,,,family-camping / car-camping / frontcountry,REI 家庭露营基础清单，适合营地车载露营。,"Tent (and footprint, stakes)",,"Tent (and footprint, stakes)",camping,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,These are important items for your camping essentials checklist,3,draft,https://www.rei.com/favicon.ico
REI_FAMILY_CAMPING_CHECKLIST-CDP-002,Camping Essentials Checklist,https://www.rei.com/learn/expert-advice/family-camping-checklist.html,REI Co-op,en,article,,,,family-camping / car-camping / frontcountry,REI 家庭露营基础清单，适合营地车载露营。,Headlamps or flashlights (and extra batteries),,Headlamps or flashlights (and extra batteries),electronics,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Camping pillow,3,draft,https://www.rei.com/favicon.ico
REI_FAMILY_CAMPING_CHECKLIST-CDP-003,Camping Essentials Checklist,https://www.rei.com/learn/expert-advice/family-camping-checklist.html,REI Co-op,en,article,,,,family-camping / car-camping / frontcountry,REI 家庭露营基础清单，适合营地车载露营。,Camp table (if no picnic table),,Camp table (if no picnic table),camping,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Camp chairs,3,draft,https://www.rei.com/favicon.ico
REI_FAMILY_CAMPING_CHECKLIST-CDP-004,Camping Essentials Checklist,https://www.rei.com/learn/expert-advice/family-camping-checklist.html,REI Co-op,en,article,,,,family-camping / car-camping / frontcountry,REI 家庭露营基础清单，适合营地车载露营。,Lantern (and mantles and fuel/batteries if needed),,Lantern (and mantles and fuel/batteries if needed),nutrition,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Camp chairs,3,draft,https://www.rei.com/favicon.ico
REI_FAMILY_CAMPING_CHECKLIST-CDP-005,Camping Essentials Checklist,https://www.rei.com/learn/expert-advice/family-camping-checklist.html,REI Co-op,en,article,,,,family-camping / car-camping / frontcountry,REI 家庭露营基础清单，适合营地车载露营。,"Sunshade, tarp or screen house",,"Sunshade, tarp or screen house",other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Camp chairs,3,draft,https://www.rei.com/favicon.ico
REI_FAMILY_CAMPING_CHECKLIST-CDP-006,Camping Essentials Checklist,https://www.rei.com/learn/expert-advice/family-camping-checklist.html,REI Co-op,en,article,,,,family-camping / car-camping / frontcountry,REI 家庭露营基础清单，适合营地车载露营。,Tablecloth and clips (or tape),,Tablecloth and clips (or tape),other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Camp rug,3,draft,https://www.rei.com/favicon.ico
REI_FAMILY_CAMPING_CHECKLIST-CDP-007,Camping Essentials Checklist,https://www.rei.com/learn/expert-advice/family-camping-checklist.html,REI Co-op,en,article,,,,family-camping / car-camping / frontcountry,REI 家庭露营基础清单，适合营地车载露营。,Pad/Mattress repair kit,,Pad/Mattress repair kit,camping,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Tent-pole repair sleeve,3,draft,https://www.rei.com/favicon.ico
REI_FAMILY_CAMPING_CHECKLIST-CDP-008,Camping Essentials Checklist,https://www.rei.com/learn/expert-advice/family-camping-checklist.html,REI Co-op,en,article,,,,family-camping / car-camping / frontcountry,REI 家庭露营基础清单，适合营地车载露营。,Mallet or hammer (for hammering tent stakes),,Mallet or hammer (for hammering tent stakes),camping,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Tent-pole repair sleeve,3,draft,https://www.rei.com/favicon.ico
REI_FAMILY_CAMPING_CHECKLIST-CDP-009,Camping Essentials Checklist,https://www.rei.com/learn/expert-advice/family-camping-checklist.html,REI Co-op,en,article,,,,family-camping / car-camping / frontcountry,REI 家庭露营基础清单，适合营地车载露营。,Saw or axe (for cutting firewood),,Saw or axe (for cutting firewood),camping,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Tent-pole repair sleeve,3,draft,https://www.rei.com/favicon.ico
REI_FAMILY_CAMPING_CHECKLIST-CDP-010,Camping Essentials Checklist,https://www.rei.com/learn/expert-advice/family-camping-checklist.html,REI Co-op,en,article,,,,family-camping / car-camping / frontcountry,REI 家庭露营基础清单，适合营地车载露营。,Small broom and dustpan,,Small broom and dustpan,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Tent-pole repair sleeve,3,draft,https://www.rei.com/favicon.ico
